loop,thread_num,schedule,time,value
loop1,1,auto,1.783907,-343021.474766
loop2,1,auto,8.851091,-25242644.603147
loop1,1,dynamic-1,1.757437,-343021.474766
loop2,1,dynamic-1,8.678006,-25242644.603147
loop1,1,dynamic-16,1.643698,-343021.474766
loop2,1,dynamic-16,8.817327,-25242644.603147
loop1,1,dynamic-2,1.774283,-343021.474766
loop2,1,dynamic-2,8.678537,-25242644.603147
loop1,1,dynamic-32,1.644413,-343021.474766
loop2,1,dynamic-32,8.675723,-25242644.603147
loop1,1,dynamic-4,1.644806,-343021.474766
loop2,1,dynamic-4,8.694826,-25242644.603147
loop1,1,dynamic-64,1.644193,-343021.474766
loop2,1,dynamic-64,8.677320,-25242644.603147
loop1,1,dynamic-8,1.643950,-343021.474766
loop2,1,dynamic-8,8.673145,-25242644.603147
loop1,1,guided-1,1.643795,-343021.474766
loop2,1,guided-1,8.674541,-25242644.603147
loop1,1,guided-16,1.644882,-343021.474766
loop2,1,guided-16,8.676310,-25242644.603147
loop1,1,guided-2,1.645541,-343021.474766
loop2,1,guided-2,8.677808,-25242644.603147
loop1,1,guided-32,1.644978,-343021.474766
loop2,1,guided-32,8.676912,-25242644.603147
loop1,1,guided-4,1.644793,-343021.474766
loop2,1,guided-4,8.674879,-25242644.603147
loop1,1,guided-64,1.645218,-343021.474766
loop2,1,guided-64,8.675259,-25242644.603147
loop1,1,guided-8,1.643631,-343021.474766
loop2,1,guided-8,8.677111,-25242644.603147
loop1,1,static,1.643411,-343021.474766
loop2,1,static,8.674329,-25242644.603147
loop1,1,static-1,1.642901,-343021.474766
loop2,1,static-1,8.682829,-25242644.603147
loop1,1,static-16,1.642234,-343021.474766
loop2,1,static-16,8.679660,-25242644.603147
loop1,1,static-2,1.643940,-343021.474766
loop2,1,static-2,8.683802,-25242644.603147
loop1,1,static-32,1.646232,-343021.474766
loop2,1,static-32,8.683855,-25242644.603147
loop1,1,static-4,1.651581,-343021.474766
loop2,1,static-4,8.685080,-25242644.603147
loop1,1,static-64,1.648319,-343021.474766
loop2,1,static-64,8.683240,-25242644.603147
loop1,1,static-8,1.643540,-343021.474766
loop2,1,static-8,8.678373,-25242644.603147
loop1,2,auto,0.927981,-343021.474766
loop2,2,auto,6.217704,-25242644.603147
loop1,2,dynamic-1,0.950177,-343021.474766
loop2,2,dynamic-1,4.613015,-25242644.603147
loop1,2,dynamic-16,0.852854,-343021.474766
loop2,2,dynamic-16,4.455937,-25242644.603147
loop1,2,dynamic-2,0.912491,-343021.474766
loop2,2,dynamic-2,4.592709,-25242644.603147
loop1,2,dynamic-32,0.835613,-343021.474766
loop2,2,dynamic-32,4.410210,-25242644.603147
loop1,2,dynamic-4,0.894954,-343021.474766
loop2,2,dynamic-4,4.544502,-25242644.603147
loop1,2,dynamic-64,0.838772,-343021.474766
loop2,2,dynamic-64,4.918786,-25242644.603147
loop1,2,dynamic-8,0.878787,-343021.474766
loop2,2,dynamic-8,4.419836,-25242644.603147
loop1,2,guided-1,0.834535,-343021.474766
loop2,2,guided-1,6.223563,-25242644.603147
loop1,2,guided-16,0.830473,-343021.474766
loop2,2,guided-16,6.212785,-25242644.603147
loop1,2,guided-2,0.833321,-343021.474766
loop2,2,guided-2,6.211773,-25242644.603147
loop1,2,guided-32,0.849481,-343021.474766
loop2,2,guided-32,6.212543,-25242644.603147
loop1,2,guided-4,0.834467,-343021.474766
loop2,2,guided-4,6.227872,-25242644.603147
loop1,2,guided-64,0.835893,-343021.474766
loop2,2,guided-64,6.226344,-25242644.603147
loop1,2,guided-8,0.832932,-343021.474766
loop2,2,guided-8,6.222133,-25242644.603147
loop1,2,static,1.234989,-343021.474766
loop2,2,static,7.130361,-25242644.603147
loop1,2,static-1,0.937949,-343021.474766
loop2,2,static-1,6.535829,-25242644.603147
loop1,2,static-16,0.858041,-343021.474766
loop2,2,static-16,4.537896,-25242644.603147
loop1,2,static-2,0.901988,-343021.474766
loop2,2,static-2,5.207481,-25242644.603147
loop1,2,static-32,0.868046,-343021.474766
loop2,2,static-32,5.960340,-25242644.603147
loop1,2,static-4,0.883419,-343021.474766
loop2,2,static-4,4.583165,-25242644.603147
loop1,2,static-64,0.902744,-343021.474766
loop2,2,static-64,6.743365,-25242644.603147
loop1,2,static-8,0.876292,-343021.474766
loop2,2,static-8,4.553086,-25242644.603147
loop1,4,auto,0.498995,-343021.474766
loop2,4,auto,5.446468,-25242644.603147
loop1,4,dynamic-1,0.471227,-343021.474766
loop2,4,dynamic-1,2.701970,-25242644.603147
loop1,4,dynamic-16,0.451625,-343021.474766
loop2,4,dynamic-16,2.253182,-25242644.603147
loop1,4,dynamic-2,0.522890,-343021.474766
loop2,4,dynamic-2,2.737558,-25242644.603147
loop1,4,dynamic-32,0.493449,-343021.474766
loop2,4,dynamic-32,3.919032,-25242644.603147
loop1,4,dynamic-4,0.498682,-343021.474766
loop2,4,dynamic-4,2.628663,-25242644.603147
loop1,4,dynamic-64,0.471400,-343021.474766
loop2,4,dynamic-64,4.952531,-25242644.603147
loop1,4,dynamic-8,0.479213,-343021.474766
loop2,4,dynamic-8,2.299803,-25242644.603147
loop1,4,guided-1,0.464174,-343021.474766
loop2,4,guided-1,5.479084,-25242644.603147
loop1,4,guided-16,0.612182,-343021.474766
loop2,4,guided-16,5.552228,-25242644.603147
loop1,4,guided-2,0.594913,-343021.474766
loop2,4,guided-2,5.777945,-25242644.603147
loop1,4,guided-32,0.467208,-343021.474766
loop2,4,guided-32,5.483997,-25242644.603147
loop1,4,guided-4,0.423925,-343021.474766
loop2,4,guided-4,5.498753,-25242644.603147
loop1,4,guided-64,0.495679,-343021.474766
loop2,4,guided-64,5.513712,-25242644.603147
loop1,4,guided-8,0.579973,-343021.474766
loop2,4,guided-8,5.497931,-25242644.603147
loop1,4,static,0.724156,-343021.474766
loop2,4,static,6.214038,-25242644.603147
loop1,4,static-1,0.549553,-343021.474766
loop2,4,static-1,4.138243,-25242644.603147
loop1,4,static-16,0.529206,-343021.474766
loop2,4,static-16,3.115961,-25242644.603147
loop1,4,static-2,0.459143,-343021.474766
loop2,4,static-2,2.961705,-25242644.603147
loop1,4,static-32,0.529740,-343021.474766
loop2,4,static-32,4.794239,-25242644.603147
loop1,4,static-4,0.571148,-343021.474766
loop2,4,static-4,2.618426,-25242644.603147
loop1,4,static-64,0.529293,-343021.474766
loop2,4,static-64,5.440751,-25242644.603147
loop1,4,static-8,0.521639,-343021.474766
loop2,4,static-8,2.345277,-25242644.603147
loop1,6,auto,0.340026,-343021.474766
loop2,6,auto,4.802171,-25242644.603147
loop1,6,dynamic-1,0.364089,-343021.474766
loop2,6,dynamic-1,2.083627,-25242644.603147
loop1,6,dynamic-16,0.310218,-343021.474766
loop2,6,dynamic-16,2.097494,-25242644.603147
loop1,6,dynamic-2,0.312589,-343021.474766
loop2,6,dynamic-2,1.960871,-25242644.603147
loop1,6,dynamic-32,0.342571,-343021.474766
loop2,6,dynamic-32,3.930906,-25242644.603147
loop1,6,dynamic-4,0.344332,-343021.474766
loop2,6,dynamic-4,1.720623,-25242644.603147
loop1,6,dynamic-64,0.332851,-343021.474766
loop2,6,dynamic-64,4.953534,-25242644.603147
loop1,6,dynamic-8,0.321336,-343021.474766
loop2,6,dynamic-8,1.561305,-25242644.603147
loop1,6,guided-1,0.348377,-343021.474766
loop2,6,guided-1,4.809259,-25242644.603147
loop1,6,guided-16,0.355211,-343021.474766
loop2,6,guided-16,4.845079,-25242644.603147
loop1,6,guided-2,0.327733,-343021.474766
loop2,6,guided-2,4.831599,-25242644.603147
loop1,6,guided-32,0.357313,-343021.474766
loop2,6,guided-32,4.833755,-25242644.603147
loop1,6,guided-4,0.378846,-343021.474766
loop2,6,guided-4,4.863753,-25242644.603147
loop1,6,guided-64,0.381111,-343021.474766
loop2,6,guided-64,4.962688,-25242644.603147
loop1,6,guided-8,0.323798,-343021.474766
loop2,6,guided-8,4.832163,-25242644.603147
loop1,6,static,0.506749,-343021.474766
loop2,6,static,5.697140,-25242644.603147
loop1,6,static-1,0.385471,-343021.474766
loop2,6,static-1,4.244899,-25242644.603147
loop1,6,static-16,0.436671,-343021.474766
