loop,thread_num,schedule,time,value
loop1,1,auto,1.968238,-343021.474766
loop2,1,auto,8.803916,-25242644.603147
loop1,1,dynamic-1,1.649482,-343021.474766
loop2,1,dynamic-1,8.817796,-25242644.603147
loop1,1,dynamic-16,1.645097,-343021.474766
loop2,1,dynamic-16,8.815501,-25242644.603147
loop1,1,dynamic-2,1.644735,-343021.474766
loop2,1,dynamic-2,8.814714,-25242644.603147
loop1,1,dynamic-32,1.675600,-343021.474766
loop2,1,dynamic-32,8.816135,-25242644.603147
loop1,1,dynamic-4,1.644532,-343021.474766
loop2,1,dynamic-4,8.814453,-25242644.603147
loop1,1,dynamic-64,1.645287,-343021.474766
loop2,1,dynamic-64,8.817841,-25242644.603147
loop1,1,dynamic-8,1.644535,-343021.474766
loop2,1,dynamic-8,8.810429,-25242644.603147
loop1,1,guided-1,1.645128,-343021.474766
loop2,1,guided-1,8.813986,-25242644.603147
loop1,1,guided-16,1.644097,-343021.474766
loop2,1,guided-16,8.811110,-25242644.603147
loop1,1,guided-2,1.644717,-343021.474766
loop2,1,guided-2,8.811522,-25242644.603147
loop1,1,guided-32,1.643928,-343021.474766
loop2,1,guided-32,8.810682,-25242644.603147
loop1,1,guided-4,1.644546,-343021.474766
loop2,1,guided-4,8.811847,-25242644.603147
loop1,1,guided-64,1.644446,-343021.474766
loop2,1,guided-64,8.810635,-25242644.603147
loop1,1,guided-8,1.644350,-343021.474766
loop2,1,guided-8,8.810841,-25242644.603147
loop1,1,static,1.646294,-343021.474766
loop2,1,static,8.687054,-25242644.603147
loop1,1,static-1,1.644071,-343021.474766
loop2,1,static-1,8.674199,-25242644.603147
loop1,1,static-16,1.643235,-343021.474766
loop2,1,static-16,8.683004,-25242644.603147
loop1,1,static-2,1.644077,-343021.474766
loop2,1,static-2,8.676811,-25242644.603147
loop1,1,static-32,1.643640,-343021.474766
loop2,1,static-32,8.673203,-25242644.603147
loop1,1,static-4,1.643321,-343021.474766
loop2,1,static-4,8.672062,-25242644.603147
loop1,1,static-64,1.643854,-343021.474766
loop2,1,static-64,8.673775,-25242644.603147
loop1,1,static-8,1.642978,-343021.474766
loop2,1,static-8,8.674655,-25242644.603147
loop1,2,auto,0.974907,-343021.474766
loop2,2,auto,6.309773,-25242644.603147
loop1,2,dynamic-1,1.015810,-343021.474766
loop2,2,dynamic-1,4.819902,-25242644.603147
loop1,2,dynamic-16,0.919742,-343021.474766
loop2,2,dynamic-16,4.490118,-25242644.603147
loop1,2,dynamic-2,0.968897,-343021.474766
loop2,2,dynamic-2,4.826423,-25242644.603147
loop1,2,dynamic-32,0.911181,-343021.474766
loop2,2,dynamic-32,4.486211,-25242644.603147
loop1,2,dynamic-4,0.946679,-343021.474766
loop2,2,dynamic-4,4.516377,-25242644.603147
loop1,2,dynamic-64,0.899297,-343021.474766
