loop,thread_num,schedule,time,value
loop1,1,auto,1.794098,-343021.474766
loop2,1,auto,8.816530,-25242644.603147
loop1,1,dynamic-1,1.644104,-343021.474766
loop2,1,dynamic-1,8.671965,-25242644.603147
loop1,1,dynamic-16,1.644566,-343021.474766
loop2,1,dynamic-16,8.673892,-25242644.603147
loop1,1,dynamic-2,1.643885,-343021.474766
loop2,1,dynamic-2,8.668812,-25242644.603147
loop1,1,dynamic-32,1.644550,-343021.474766
loop2,1,dynamic-32,8.670790,-25242644.603147
loop1,1,dynamic-4,1.643339,-343021.474766
loop2,1,dynamic-4,8.672185,-25242644.603147
loop1,1,dynamic-64,1.644138,-343021.474766
loop2,1,dynamic-64,8.677383,-25242644.603147
loop1,1,dynamic-8,1.644321,-343021.474766
loop2,1,dynamic-8,8.670371,-25242644.603147
loop1,1,guided-1,1.644458,-343021.474766
loop2,1,guided-1,8.670620,-25242644.603147
loop1,1,guided-16,1.644012,-343021.474766
loop2,1,guided-16,8.671141,-25242644.603147
loop1,1,guided-2,1.644791,-343021.474766
loop2,1,guided-2,8.670073,-25242644.603147
loop1,1,guided-32,1.645028,-343021.474766
loop2,1,guided-32,8.671644,-25242644.603147
loop1,1,guided-4,1.678810,-343021.474766
loop2,1,guided-4,8.670047,-25242644.603147
loop1,1,guided-64,1.644831,-343021.474766
loop2,1,guided-64,8.671085,-25242644.603147
loop1,1,guided-8,1.643838,-343021.474766
loop2,1,guided-8,8.671342,-25242644.603147
loop1,1,static,1.789686,-343021.474766
loop2,1,static,8.728403,-25242644.603147
loop1,1,static-1,1.643617,-343021.474766
loop2,1,static-1,8.677971,-25242644.603147
loop1,1,static-16,1.643729,-343021.474766
loop2,1,static-16,8.675477,-25242644.603147
loop1,1,static-2,1.644253,-343021.474766
loop2,1,static-2,8.675418,-25242644.603147
loop1,1,static-32,1.644982,-343021.474766
loop2,1,static-32,8.673977,-25242644.603147
loop1,1,static-4,1.643785,-343021.474766
loop2,1,static-4,8.674567,-25242644.603147
loop1,1,static-64,1.643714,-343021.474766
loop2,1,static-64,8.676394,-25242644.603147
loop1,1,static-8,1.644644,-343021.474766
loop2,1,static-8,8.673178,-25242644.603147
loop1,2,auto,0.909212,-343021.474766
loop2,2,auto,6.320735,-25242644.603147
loop1,2,dynamic-1,1.015475,-343021.474766
loop2,2,dynamic-1,4.782927,-25242644.603147
loop1,2,dynamic-16,0.925441,-343021.474766
loop2,2,dynamic-16,4.423917,-25242644.603147
loop1,2,dynamic-2,0.972952,-343021.474766
loop2,2,dynamic-2,5.349022,-25242644.603147
loop1,2,dynamic-32,0.903622,-343021.474766
loop2,2,dynamic-32,4.409547,-25242644.603147
loop1,2,dynamic-4,0.947746,-343021.474766
loop2,2,dynamic-4,4.551991,-25242644.603147
loop1,2,dynamic-64,0.900674,-343021.474766
loop2,2,dynamic-64,4.920198,-25242644.603147
loop1,2,dynamic-8,0.944074,-343021.474766
loop2,2,dynamic-8,4.472554,-25242644.603147
loop1,2,guided-1,0.896645,-343021.474766
loop2,2,guided-1,6.221921,-25242644.603147
loop1,2,guided-16,0.907370,-343021.474766
loop2,2,guided-16,6.218762,-25242644.603147
loop1,2,guided-2,0.953383,-343021.474766
loop2,2,guided-2,6.224584,-25242644.603147
loop1,2,guided-32,0.894923,-343021.474766
loop2,2,guided-32,6.221585,-25242644.603147
loop1,2,guided-4,0.898410,-343021.474766
loop2,2,guided-4,6.214282,-25242644.603147
loop1,2,guided-64,0.891735,-343021.474766
loop2,2,guided-64,6.220042,-25242644.603147
loop1,2,guided-8,0.892695,-343021.474766
